14	12a	dútchi?	Did you get it?
14	12b	shóossdalee?	Where are you going?
38	71a	bach-aw-áchiss-uu-k	We love each other
38	72c	kalaaxtí-i-k	He never knows it
44	6	hinne awus-aachée-sh bilía dúsht-ak ammuú-ss-dee-k	He opened the door of this cellar and went down
45	8	hínne iichíil-itchi-kaashi-m iiwaa-aw-iaschim-mia-waa-k	I want to sell this very good horse
45	10	shikáak-kaata-m kukaá iiwaannía-k(is)s-uu-t	Ever since he was a young boy, when they would play, he was their leader
45	11	d-íikukk-aala-h Apsáalook-kaat-uu	Listen, dar Crows
45	13	Emily-sh-dak ischité Andrew-sh-dak bíia aák bilaxpáak-kisshi-li-o-k	Emily and her sister's husband Andrew are building a snowman
46	14	dáak-kisshe xuáhchee-kisshi-m óo-kaashee-sh hawáko kalaaxtá-m	One time he forgot his baby skunk doll that he always carried around
46	16	bachee-isáa dii-wilaxpáak-taahili-m é-wa-hkaa-k	Teacher, we know that you are a sincere person
46	17	ikkúhpa-taale-lak is-kakée-lak áakee-n dúushii-m	He laid his warbonnet and coup stick on top of it
46	18	áash-am-mishe ala-xkúp-aahi-kaat-bis-aah-i-lua-sh koot-dák koón awáat-ak daat-dak	The way there are little coulees here and there around rivers, it was like that; he remained sitting there
46	19	úuxiihchiiwish-daakee-ht bii-dá-k(u)-deeta-k	You haven't given me even a kid goat
59	52	huu-káwe-h Déaxkaash-daawii	Three Eagles, come here!
60	54	díi-lu-ssee-sh ahóom-m-aa-k	I give thanks to y'all
61	55	ak-disshé iiláp-uu-lak duú-laa dií-ak "d-íluu-h dii-lii-wah-kúnnaa-wuu-o-k" huu-k	Two of the dancers came, they reached him, "get up, we have come after you", they said
61	56	Emily Pretty Raven huua bía-kaat-kaata-m dii-lii-íkuxx-aachi-k	Emily is a little girl pretty much like you
61	57	hinne ahpaaxée-sh koon Akbaatatalia iláa-k hilía-shee-k "hinne bii-wa-laak-bacheé-k"	God spoke from this cloud and said this: "this is my son"
61	58	éehk bii-w-achuuká-k	That one is my younger brother
62	60	Hileen d-íilapx-ammishe ko bacheé íilaa hawassée-ommaachi-k	These fathers of yours will take care of that man themselves
62	61	bílaa-laht hawéese día-waa-w-ii-k	Even though I'm by myself, I'll do the rest
62	62	diiléen balee-l-áxshee-lak hiléen baatachxaxúa aa-la-láa-k bíiluh balee-láappee-l-immaachi-k	If you beat us, you will take everything; as for us, you will kill us
63	63	biiléen bu-lutt-ák dii-héela-ss-dee-wa-hk-uu-k	I am the one who took him and sent him among you
63	64	bíh baa-wa-lá-ko koó-k	As for me, this is what I give you
